Product Name,Price,Product URL,Brand,Availability
AMD Ryzen 5 8500G Processor with Radeon Graphics,"Rs. 15,100",https://mdcomputers.in/product/amd-ryzen-5-8500g-100-100000931box-desktop-processor,AMD,In Stock
AMD Ryzen 5 8600G Processor with Radeon Graphics,"Rs. 20,000",https://mdcomputers.in/product/amd-ryzen-5-8600g-100-100001237box-desktop-processor,AMD,In Stock
AMD Ryzen 7 8700G Processor with Radeon Graphics,"Rs. 28,300",https://mdcomputers.in/product/amd-ryzen-7-8700g-100-100001236box-desktop-processor,AMD,In Stock
Antec CX800 ARGB ATX Mid Tower Case,"Rs. 5,320",https://mdcomputers.in/product/antec-cx800-argb-black-mid-tower-cabinet,Antec,N/A
Antec C8 E-ATX Full Tower Case,"Rs. 8,100",https://mdcomputers.in/product/antec-c8-black-full-tower-cabinet,Antec,N/A
Antec C8 Aluminum White E-ATX Full Tower Case,"Rs. 9,030",https://mdcomputers.in/product/antec-c8-aluminum-white-full-tower-cabinet,Antec,N/A
Antec C3 ARGB White ATX Mid Tower Case,"Rs. 6,750",https://mdcomputers.in/product/antec-c3-argb-white-mid-tower-cabinet,Antec,N/A
"BenQ 27 Inch Designer Monitor, PD2706U","Rs. 40,200",https://mdcomputers.in/product/benq-27-inch-designer-monitor-pd2706u,BenQ,N/A
BenQ Mobiuz EX271 27 Inch Gaming Monitor,"Rs. 15,425",https://mdcomputers.in/product/benq-mobiuz-27-inch-gaming-monitor-ex271,BenQ,N/A
AMD Ryzen 5 8500G Processor with Radeon Graphics,"Rs. 15,100",https://mdcomputers.in/product/amd-ryzen-5-8500g-100-100000931box-desktop-processor,AMD,In Stock
AMD Ryzen 5 8600G Processor with Radeon Graphics,"Rs. 20,000",https://mdcomputers.in/product/amd-ryzen-5-8600g-100-100001237box-desktop-processor,AMD,In Stock
AMD Ryzen 7 8700G Processor with Radeon Graphics,"Rs. 28,300",https://mdcomputers.in/product/amd-ryzen-7-8700g-100-100001236box-desktop-processor,AMD,In Stock
Antec CX800 ARGB ATX Mid Tower Case,"Rs. 5,320",https://mdcomputers.in/product/antec-cx800-argb-black-mid-tower-cabinet,Antec,N/A
Antec C8 E-ATX Full Tower Case,"Rs. 8,100",https://mdcomputers.in/product/antec-c8-black-full-tower-cabinet,Antec,N/A
Antec C8 Aluminum White E-ATX Full Tower Case,"Rs. 9,030",https://mdcomputers.in/product/antec-c8-aluminum-white-full-tower-cabinet,Antec,N/A
